SN	Subtype	z	z'^a	t_r,B	v^b,ref^c	Mag_p,B	AV18^d	mu (mag)	mu_(MLCS2k2)	M_B(mag)	${M}_{{t}^{2}}$	${M}_{{v}^{2}{t}^{2}}$	Group^e	
1998dh	Ia-norm	0.0077	0.0082	15.7 +or- 0.7	11.1 +or- 0.5, S12^f	14.1	0.3016	32.74	32.96	-19.34 +or- 0.22	-5.97	-11.20	1	
1998dm	Ia-norm	0.0055	0.0062	17.7 +or- 0.7	10.6 +or- 0.3, S15^f	14.8	0.7511	32.13	33.26	-18.68 +or- 0.28	-6.24	-11.37	1	
1999cp	Ia-norm	0.0103	0.0103	17.3 +or- 0.7	10.6 +or- 0.3, S15^f	14.0	0.0401	33.24	33.46	-19.36 +or- 0.18	-6.19	-11.32	3	
1999dq	Ia-99aa	0.0137	0.0130	18.4 +or- 0.8	10.9 +or- 0.1, S15	14.9	0.3174	33.75	33.70	-19.82 +or- 0.15	-6.32	-11.51	1	
1999gp	Ia-norm	0.0260	0.0268	18.0 +or- 0.8	11.0 +or- 0.2, Z18	16.2	0.1441	35.34	35.57	-19.61 +or- 0.09	-6.27	-11.48	5	
2000cx	Ia-pec	0.0070	0.0073	14.2 +or- 0.7	11.7 +or- 0.2, Z18	13.4	-0.0520	32.47	32.64	-19.31 +or- 0.24	-5.76	-11.10	2	
2000dn	Ia-norm	0.0308	0.0316	16.3 +or- 1.4	10.2 +or- 0.2, S15^f	16.8	0.0191	35.71	36.13	-19.15 +or- 0.07	-6.05	-11.10	5	
2000dr	Ia-norm	0.0178	0.0183	12.9 +or- 0.7	10.5 +or- 0.3,S12^f	16.1	-0.0056	34.50	34.47	-18.52 +or- 0.11	-5.55	-10.65	1	
2000fa	Ia-norm	0.0218	0.0223	16.7 +or- 0.8	12.0 +or- 0.2, Z18	16.1	0.2916	34.94	35.08	-19.54 +or- 0.10	-6.11	-11.51	1	
2001en	Ia-norm	0.0153	0.0133	16.3 +or- 0.7	12.5 +or- 0.4, S12^f	15.3	0.0729	33.79	34.36	-18.86 +or- 0.15	-6.06	-11.55	1	
2001ep	Ia-norm	0.0129	0.0127	16.8 +or- 0.7	10.3 +or- 0.3, S15^f	15.0	0.2551	33.69	33.89	-19.24 +or- 0.15	-6.12	-11.19	1	
2002bo	Ia-norm	0.0053	0.0060	15.7 +or- 0.7	13.0 +or- 0.3, S15^f	14.0	0.7674	32.05	32.32	-19.31 +or- 0.29	-5.98	-11.55	1	
